"","Congener","Mean (ng/m2/d)","Std (ng/m2/d)","2.5%CL (ng/m2/d)","97.5%CL (ng/m2/d)"
"1","PCB1","2.105","1.569","0.195","5.856"
"2","PCB2","0.320","0.242","0.026","0.881"
"3","PCB3","0.726","0.582","0.048","2.252"
"4","PCB4","35.271","33.261","1.443","126.106"
"5","PCB5","0.139","0.114","0.012","0.415"
"6","PCB6","1.847","1.434","0.142","5.315"
"7","PCB7","0.822","0.676","0.054","2.543"
"8","PCB8","7.499","6.358","0.486","23.275"
"9","PCB9","0.488","0.379","0.049","1.495"
"10","PCB10","1.862","1.490","0.133","5.502"
"11","PCB11","14.635","12.455","1.004","44.998"
"12","PCB12+13","0.532","0.474","0.024","1.770"
"13","PCB14","0.050","0.036","0.005","0.131"
"14","PCB15","2.513","2.150","0.182","8.030"
"15","PCB16","3.783","3.089","0.319","11.335"
"16","PCB17","11.981","9.281","1.064","32.686"
"17","PCB18+30","9.769","7.719","0.719","30.200"
"18","PCB19","32.480","26.163","2.192","96.792"
"19","PCB20+28","8.259","6.734","0.716","24.182"
"20","PCB21+33","8.932","7.486","0.617","28.105"
"21","PCB22","2.519","2.292","0.142","8.180"
"22","PCB23","0.034","0.027","0.002","0.102"
"23","PCB24","0.156","0.121","0.009","0.453"
"24","PCB25","3.000","2.176","0.252","8.255"
"25","PCB26+29","1.779","1.408","0.116","5.310"
"26","PCB27","1.943","1.530","0.162","5.795"
"27","PCB31","6.670","5.238","0.446","20.104"
"28","PCB32","4.534","3.706","0.386","14.160"
"29","PCB34","0.083","0.060","0.007","0.228"
"30","PCB35","0.125","0.104","0.009","0.377"
"31","PCB36","0.050","0.048","0.002","0.192"
"32","PCB37","0.991","0.980","0.048","3.548"
"33","PCB38","0.029","0.026","0.002","0.096"
"34","PCB39","0.088","0.072","0.005","0.261"
"35","PCB40+41+71","3.988","3.167","0.279","11.438"
"36","PCB42","1.755","1.585","0.113","5.642"
"37","PCB43","0.292","0.270","0.010","0.959"
"38","PCB44+47+65","32.644","26.342","2.754","99.994"
"39","PCB45+51","135.744","110.581","10.276","424.547"
"40","PCB46","1.314","0.973","0.085","3.538"
"41","PCB48","1.268","1.063","0.102","3.883"
"42","PCB49+69","7.257","5.606","0.583","19.980"
"43","PCB50+53","5.005","3.650","0.412","13.820"
"44","PCB52","11.468","8.987","0.649","33.654"
"45","PCB54","2.578","1.857","0.222","6.837"
"46","PCB55","0.036","0.045","0.001","0.171"
"47","PCB56","1.207","1.119","0.058","4.082"
"48","PCB57","0.026","0.026","0.001","0.096"
"49","PCB58","0.022","0.021","0.001","0.082"
"50","PCB59+62+75","0.731","0.600","0.056","2.271"
"51","PCB60","0.589","0.571","0.032","2.106"
"52","PCB61+70+74+76","5.443","5.063","0.338","17.860"
"53","PCB63","0.150","0.125","0.009","0.472"
"54","PCB64","2.572","2.161","0.177","7.877"
"55","PCB66","3.109","2.865","0.132","11.217"
"56","PCB67","0.076","0.066","0.005","0.252"
"57","PCB68","14.542","13.033","0.855","49.338"
"58","PCB72","0.115","0.101","0.007","0.374"
"59","PCB73","0.264","0.188","0.033","0.714"
"60","PCB77","0.127","0.131","0.005","0.479"
"61","PCB78","0.014","0.013","0.001","0.048"
"62","PCB79","0.058","0.074","0.001","0.271"
"63","PCB80","0.016","0.014","0.001","0.053"
"64","PCB81","0.013","0.014","0.000","0.051"
"65","PCB82","0.393","0.395","0.021","1.420"
"66","PCB83+99","2.700","2.391","0.186","8.700"
"67","PCB84","1.775","1.600","0.109","5.934"
"68","PCB85+116+117","0.654","0.623","0.040","2.257"
"69","PCB86+87+97+108+119+125","2.886","2.733","0.114","9.685"
"70","PCB88+91","1.504","1.171","0.127","4.462"
"71","PCB89","0.077","0.063","0.005","0.227"
"72","PCB90+101+113","5.045","4.511","0.253","17.570"
"73","PCB92","1.075","0.964","0.063","3.529"
"74","PCB93+95+98+100+102","7.777","6.419","0.505","23.379"
"75","PCB94","0.154","0.126","0.011","0.452"
"76","PCB96","0.194","0.146","0.018","0.547"
"77","PCB103","0.291","0.228","0.029","0.835"
"78","PCB104","0.083","0.056","0.011","0.225"
"79","PCB105","0.456","0.508","0.020","1.777"
"80","PCB106","0.009","0.010","0.000","0.036"
"81","PCB107+124","0.070","0.070","0.003","0.236"
"82","PCB109","0.240","0.195","0.016","0.747"
"83","PCB110+115","4.212","3.927","0.203","14.408"
"84","PCB111","0.009","0.008","0.001","0.032"
"85","PCB112","0.010","0.010","0.000","0.036"
"86","PCB114","0.031","0.032","0.002","0.109"
"87","PCB118","1.279","1.372","0.055","4.857"
"88","PCB120","0.016","0.016","0.001","0.056"
"89","PCB121","0.014","0.011","0.001","0.042"
"90","PCB122","0.022","0.022","0.001","0.081"
"91","PCB123","0.028","0.030","0.001","0.116"
"92","PCB126","0.006","0.008","0.000","0.027"
"93","PCB127","0.007","0.007","0.000","0.024"
"94","PCB128+166","0.188","0.212","0.007","0.810"
"95","PCB129+138+160+163","1.537","1.805","0.052","6.572"
"96","PCB130","0.099","0.104","0.004","0.390"
"97","PCB131","0.029","0.029","0.002","0.107"
"98","PCB132","0.960","0.925","0.052","3.321"
"99","PCB133","0.049","0.047","0.003","0.179"
"100","PCB134+143","0.179","0.165","0.010","0.633"
"101","PCB135+151+154","1.557","1.262","0.098","4.855"
"102","PCB136","0.817","0.636","0.064","2.392"
"103","PCB137","0.053","0.052","0.003","0.198"
"104","PCB139+140","0.057","0.053","0.003","0.195"
"105","PCB141","0.333","0.327","0.013","1.213"
"106","PCB142","0.013","0.011","0.001","0.039"
"107","PCB144","0.156","0.133","0.014","0.480"
"108","PCB145","0.003","0.002","0.000","0.008"
"109","PCB146","0.339","0.341","0.014","1.260"
"110","PCB147+149","2.988","2.790","0.199","10.272"
"111","PCB148","0.019","0.016","0.002","0.058"
"112","PCB150","0.033","0.024","0.004","0.093"
"113","PCB152","0.017","0.013","0.001","0.050"
"114","PCB153+168","1.464","1.469","0.057","5.490"
"115","PCB155","0.006","0.004","0.001","0.017"
"116","PCB156+157","0.051","0.062","0.001","0.224"
"117","PCB158","0.109","0.115","0.004","0.461"
"118","PCB159","0.007","0.009","0.000","0.034"
"119","PCB161","0.005","0.005","0.000","0.018"
"120","PCB162","0.003","0.003","0.000","0.011"
"121","PCB164","0.103","0.105","0.005","0.394"
"122","PCB165","0.006","0.006","0.000","0.021"
"123","PCB167","0.020","0.025","0.001","0.082"
"124","PCB169","0.002","0.003","0.000","0.009"
"125","PCB170","0.067","0.082","0.002","0.307"
"126","PCB171+173","0.047","0.051","0.002","0.193"
"127","PCB172","0.017","0.021","0.001","0.072"
"128","PCB174","0.182","0.195","0.006","0.728"
"129","PCB175","0.007","0.007","0.000","0.028"
"130","PCB176","0.047","0.044","0.003","0.161"
"131","PCB177","0.087","0.085","0.004","0.303"
"132","PCB178","0.053","0.056","0.003","0.207"
"133","PCB179","0.206","0.187","0.010","0.690"
"134","PCB180+193","0.201","0.254","0.005","0.963"
"135","PCB181","0.003","0.003","0.000","0.012"
"136","PCB182","0.001","0.001","0.000","0.005"
"137","PCB183+185","0.120","0.131","0.004","0.468"
"138","PCB184","0.002","0.002","0.000","0.006"
"139","PCB186","0.002","0.002","0.000","0.006"
"140","PCB187","0.253","0.301","0.008","1.016"
"141","PCB188","0.002","0.002","0.000","0.006"
"142","PCB189","0.002","0.003","0.000","0.009"
"143","PCB190","0.014","0.018","0.000","0.057"
"144","PCB191","0.002","0.003","0.000","0.010"
"145","PCB192","0.001","0.001","0.000","0.002"
"146","PCB194","0.009","0.014","0.000","0.048"
"147","PCB195","0.009","0.013","0.000","0.044"
"148","PCB196","0.011","0.015","0.000","0.051"
"149","PCB197+200","0.010","0.010","0.000","0.037"
"150","PCB198+199","0.070","0.081","0.003","0.304"
"151","PCB201","0.004","0.005","0.000","0.018"
"152","PCB202","0.017","0.019","0.001","0.069"
"153","PCB203","0.019","0.027","0.000","0.095"
"154","PCB204","0.001","0.001","0.000","0.004"
"155","PCB205","0.000","0.001","0.000","0.002"
"156","PCB206","0.005","0.008","0.000","0.027"
"157","PCB207","0.002","0.003","0.000","0.010"
"158","PCB208","0.005","0.008","0.000","0.026"
"159","PCB209","0.002","0.003","0.000","0.011"
